link_text,href,link_type,section_title
wrap(),#wrap,internal_anchor,
unwrap(),#unwrap,internal_anchor,
smooth(),#smooth,internal_anchor,
Output,#output,internal_anchor,
Pretty-printing,#pretty-printing,internal_anchor,
Non-pretty printing,#non-pretty-printing,internal_anchor,
Output formatters,#output-formatters,internal_anchor,
Formatter objects,#formatter-objects,internal_anchor,
HTMLFormatter,#HTMLFormatter,internal_anchor,
XMLFormatter,#XMLFormatter,internal_anchor,
Writing your own formatter,#writing-your-own-formatter,internal_anchor,
get_text(),#get-text,internal_anchor,
Specifying the parser to use,#specifying-the-parser-to-use,internal_anchor,
Differences between parsers,#differences-between-parsers,internal_anchor,
Encodings,#encodings,internal_anchor,
Output encoding,#output-encoding,internal_anchor,
"Unicode, Dammit",#unicode-dammit,internal_anchor,
Smart quotes,#smart-quotes,internal_anchor,
Inconsistent encodings,#inconsistent-encodings,internal_anchor,
Line numbers,#line-numbers,internal_anchor,
Comparing objects for equality,#comparing-objects-for-equality,internal_anchor,
Copying Beautiful Soup objects,#copying-beautiful-soup-objects,internal_anchor,
Low-level search interface,#low-level-search-interface,internal_anchor,
Custom element filtering,#custom-element-filtering,internal_anchor,
ElementFilter,#ElementFilter,internal_anchor,
Custom element iteration,#custom-element-iteration,internal_anchor,
ElementFilter.filter(),#ElementFilter.filter,internal_anchor,
Advanced parser customization,#advanced-parser-customization,internal_anchor,
Parsing only part of a document,#parsing-only-part-of-a-document,internal_anchor,
SoupStrainer,#SoupStrainer,internal_anchor,
Customizing multi-valued attributes,#customizing-multi-valued-attributes,internal_anchor,
Handling duplicate attributes,#handling-duplicate-attributes,internal_anchor,
Instantiating custom subclasses,#instantiating-custom-subclasses,internal_anchor,
Troubleshooting,#troubleshooting,internal_anchor,
diagnose(),#diagnose,internal_anchor,
Errors when parsing a document,#errors-when-parsing-a-document,internal_anchor,
Version mismatch problems,#version-mismatch-problems,internal_anchor,
Parsing XML,#parsing-xml,internal_anchor,
Other parser problems,#other-parser-problems,internal_anchor,
Miscellaneous,#miscellaneous,internal_anchor,
Improving Performance,#improving-performance,internal_anchor,
Translating this documentation,#translating-this-documentation,internal_anchor,
Beautiful Soup 3,#id16,internal_anchor,
Porting code to BS4,#porting-code-to-bs4,internal_anchor,
You need a parser,#you-need-a-parser,internal_anchor,
Property names,#property-names,internal_anchor,
Generators,#generators,internal_anchor,
XML,#xml,internal_anchor,
Entities,#entities,internal_anchor,
Miscellaneous,#id17,internal_anchor,
Sphinx 7.2.6,https://www.sphinx-doc.org/,external_link,
Alabaster 0.7.16,https://alabaster.readthedocs.io,external_link,
Page source,_sources/index.rst.txt,documentation_link,
